left_eye_center_x,left_eye_center_y,right_eye_center_x,right_eye_center_y,ave_eye_center_x,ave_eye_center_y
736,361,564,362,650,361
737,360,564,362,650,361
735,360,562,363,648,361
736,360,563,363,649,361
736,360,565,364,650,362
737,361,564,362,650,361
738,361,564,362,651,361
737,360,565,362,651,361
737,360,565,362,651,361
737,361,565,363,651,362
737,360,565,362,651,361
737,360,564,363,650,361
738,361,565,362,651,361
737,361,566,363,651,362
737,361,565,363,651,362
737,360,565,363,651,361
737,360,565,362,651,361
737,360,564,362,650,361
738,360,566,361,652,360
737,360,564,361,650,360
